week_idx,week_start,n_components,variance_explained,original_features,reduction_pct
179,2021-01-25 22:00:00,25,0.9511209765157047,240,89.58333333333334
180,2021-02-01 22:00:00,30,0.9512444752970811,240,87.5
181,2021-02-08 22:00:00,40,0.9515314356263735,240,83.33333333333334
182,2021-02-15 23:00:00,29,0.9504763951812618,240,87.91666666666667
183,2021-02-22 23:00:00,32,0.9515002806812514,240,86.66666666666667
184,2021-03-01 23:00:00,32,0.9508810126374149,240,86.66666666666667
185,2021-03-09 00:00:00,33,0.9526282878245902,240,86.25
186,2021-03-16 00:00:00,37,0.9514314741886443,240,84.58333333333333
187,2021-03-23 00:00:00,33,0.9521035745675012,240,86.25
188,2021-03-30 00:00:00,44,0.950832394371209,240,81.66666666666667
189,2021-04-06 00:00:00,32,0.9511144908157967,240,86.66666666666667
190,2021-04-13 00:00:00,24,0.9528441818431257,240,90.0
191,2021-04-20 00:00:00,23,0.9519791531863946,240,90.41666666666667
192,2021-04-27 05:00:00,28,0.9508078707365591,240,88.33333333333333
193,2021-05-04 05:00:00,37,0.9524403726077147,240,84.58333333333333
194,2021-05-11 05:00:00,19,0.9533013236871958,240,92.08333333333334
195,2021-05-18 05:00:00,31,0.9500331610394083,240,87.08333333333333
196,2021-05-25 05:00:00,27,0.951300176950443,240,88.75
197,2021-06-01 05:00:00,33,0.9501090836396281,240,86.25
198,2021-06-08 05:00:00,34,0.9508510189616534,240,85.83333333333334
199,2021-06-15 05:00:00,24,0.9511673109466189,240,90.0
200,2021-06-22 05:00:00,35,0.9522865569804224,240,85.41666666666666
201,2021-06-29 05:00:00,32,0.9500261587592242,240,86.66666666666667
202,2021-07-06 05:00:00,35,0.9519017347749277,240,85.41666666666666
203,2021-07-13 05:00:00,38,0.9511659758238881,240,84.16666666666667
204,2021-07-20 05:00:00,24,0.952345914769089,240,90.0
205,2021-07-27 05:00:00,33,0.950286723612693,240,86.25
206,2021-08-03 05:00:00,27,0.9511877860902638,240,88.75
207,2021-08-10 05:00:00,36,0.9501951181075281,240,85.0
208,2021-08-17 09:00:00,27,0.9517374955773298,240,88.75
209,2021-08-24 09:00:00,37,0.9509913729636477,240,84.58333333333333
210,2021-08-31 09:00:00,32,0.9514944543350161,240,86.66666666666667
211,2021-09-07 09:00:00,40,0.951600394868787,240,83.33333333333334
212,2021-09-14 09:00:00,34,0.9510382904045612,240,85.83333333333334
213,2021-09-21 09:00:00,41,0.952240813361835,240,82.91666666666666
214,2021-09-28 09:00:00,28,0.9525241727348516,240,88.33333333333333
215,2021-10-05 11:00:00,33,0.9508751434110555,240,86.25
216,2021-10-12 11:00:00,32,0.9513316765074378,240,86.66666666666667
217,2021-10-19 11:00:00,26,0.9517525848284644,240,89.16666666666666
218,2021-10-26 11:00:00,41,0.9509973903379869,240,82.91666666666666
219,2021-11-02 11:00:00,34,0.9509617512037384,240,85.83333333333334
220,2021-11-09 11:00:00,33,0.9509678595035208,240,86.25
221,2021-11-16 11:00:00,38,0.9518615881270706,240,84.16666666666667
222,2021-11-23 11:00:00,32,0.9506378248181918,240,86.66666666666667
223,2021-11-30 11:00:00,24,0.951228247183528,240,90.0
224,2021-12-07 11:00:00,42,0.9523555247366058,240,82.5
225,2021-12-14 11:00:00,37,0.9522094645796813,240,84.58333333333333
226,2021-12-21 11:00:00,27,0.9521504415954017,240,88.75
227,2021-12-28 11:00:00,45,0.9502637707083628,240,81.25
228,2022-01-04 11:00:00,32,0.951066332105799,240,86.66666666666667
229,2022-01-11 11:00:00,38,0.9510048888043463,240,84.16666666666667
230,2022-01-18 11:00:00,23,0.9522620110137178,240,90.41666666666667
231,2022-01-25 11:00:00,34,0.9502065567686109,240,85.83333333333334
232,2022-02-01 11:00:00,20,0.9521807924818175,240,91.66666666666666
233,2022-02-08 11:00:00,27,0.9513093119980948,240,88.75
234,2022-02-15 11:00:00,24,0.9521370082689394,240,90.0
235,2022-02-22 11:00:00,28,0.951114822194805,240,88.33333333333333
236,2022-03-01 11:00:00,26,0.9514528545906411,240,89.16666666666666
237,2022-03-08 11:00:00,36,0.9504355727788096,240,85.0
238,2022-03-15 11:00:00,33,0.9504768367124926,240,86.25
239,2022-03-22 11:00:00,26,0.9518284708545256,240,89.16666666666666
240,2022-03-29 11:00:00,36,0.9524388444534412,240,85.0
241,2022-04-05 11:00:00,23,0.951926134973515,240,90.41666666666667
242,2022-04-12 11:00:00,30,0.9511235100805585,240,87.5
243,2022-04-19 11:00:00,25,0.9522305052698102,240,89.58333333333334
244,2022-04-26 11:00:00,33,0.9512838960891713,240,86.25
245,2022-05-03 11:00:00,20,0.9509313711325805,240,91.66666666666666
246,2022-05-10 11:00:00,29,0.9520042570290254,240,87.91666666666667
